Cycle,time (s),V_tungsten (V),j (A/cm2),Mass Uptake (ng/cm2),Viscosity (kg/m-s),Shear (Pa),,
0,0.1,1.34E+00,-5.22E-05,0,0,6.50E+12,,
0,0.2,1.34E+00,-1.68E-05,0,0,6.50E+12,,
0,0.3,1.34E+00,-1.33E-05,0,0,6.50E+12,,
0,0.4,1.34E+00,-1.27E-05,0,0,6.50E+12,,
0,0.5,1.34E+00,-1.28E-05,0,0,6.50E+12,,
0,0.6,1.34E+00,-1.27E-05,0,0,6.50E+12,,
0,0.7,1.35E+00,-1.24E-05,0,0,6.50E+12,,
0,0.8,1.35E+00,-1.24E-05,0,0,6.50E+12,,
0,0.9,1.35E+00,-1.25E-05,0,0,6.50E+12,,
0,1,1.35E+00,-1.23E-05,0,0,6.50E+12,,
0,1.1,1.35E+00,-1.21E-05,0,0,6.50E+12,,
0,1.2,1.35E+00,-1.23E-05,0,0,6.50E+12,,
0,1.3,1.35E+00,-1.22E-05,0,0,6.50E+12,,
0,1.4,1.35E+00,-1.19E-05,0,0,6.50E+12,,
0,1.5,1.35E+00,-1.19E-05,0,0,6.50E+12,,
0,1.6,1.35E+00,-1.21E-05,0,0,6.50E+12,,
0,1.7,1.36E+00,-1.19E-05,0,0,6.50E+12,,
0,1.8,1.36E+00,-1.17E-05,0,0,6.50E+12,,
0,1.9,1.36E+00,-1.18E-05,0,0,6.50E+12,,
0,2,1.36E+00,-1.18E-05,0,0,6.50E+12,,
0,2.1,1.36E+00,-1.15E-05,0,0,6.50E+12,,
0,2.2,1.36E+00,-1.15E-05,0,0,6.50E+12,,
0,2.3,1.36E+00,-1.16E-05,-1.84E-06,0,6.32E+12,,
0,2.4,1.36E+00,-1.15E-05,-1.85E-06,0,6.35E+12,,
0,2.5,1.36E+00,-1.13E-05,-1.86E-06,0,6.39E+12,,
0,2.6,1.36E+00,-1.14E-05,-1.87E-06,0,6.42E+12,,
0,2.7,1.37E+00,-1.14E-05,-1.88E-06,0,6.45E+12,,
0,2.8,1.37E+00,-1.11E-05,-1.89E-06,0,6.48E+12,,
0,2.9,1.37E+00,-1.11E-05,-1.90E-06,0,6.52E+12,,
0,3,1.37E+00,-1.12E-05,-1.91E-06,0,6.55E+12,,
0,3.1,1.37E+00,-1.11E-05,-1.92E-06,0,6.58E+12,,
0,3.2,1.37E+00,-1.09E-05,-1.93E-06,0,6.62E+12,,
0,3.3,1.37E+00,-1.09E-05,-1.94E-06,0,6.65E+12,,
0,3.4,1.37E+00,-1.11E-05,-1.95E-06,0,6.68E+12,,
0,3.5,1.37E+00,-1.08E-05,-1.96E-06,0,6.72E+12,,
0,3.6,1.37E+00,-1.07E-05,-1.97E-06,0,6.75E+12,,
0,3.7,1.38E+00,-1.08E-05,-1.98E-06,0,6.78E+12,,
0,3.8,1.38E+00,-1.07E-05,-1.99E-06,0,6.81E+12,,
0,3.9,1.38E+00,-1.05E-05,-2.00E-06,0,6.85E+12,,
0,4,1.38E+00,-1.05E-05,-2.02E-06,0,6.88E+12,,
0,4.1,1.38E+00,-1.07E-05,-2.03E-06,0,6.91E+12,,
0,4.2,1.38E+00,-1.04E-05,-2.04E-06,0,6.95E+12,,
0,4.3,1.38E+00,-1.02E-05,-2.05E-06,0,6.98E+12,,
0,4.4,1.38E+00,-1.04E-05,-2.06E-06,0,7.01E+12,,
0,4.5,1.38E+00,-1.03E-05,-2.07E-06,0,7.04E+12,,
0,4.6,1.38E+00,-1.01E-05,-2.08E-06,0,7.08E+12,,
0,4.7,1.39E+00,-1.01E-05,-2.09E-06,0,7.11E+12,,
0,4.8,1.39E+00,-1.03E-05,-2.10E-06,0,7.14E+12,,
0,4.9,1.39E+00,-1.01E-05,-2.11E-06,0,7.17E+12,,
0,5,1.39E+00,-9.79E-06,-2.12E-06,0,7.20E+12,,
0,5.1,1.39E+00,-1.00E-05,-2.13E-06,0,7.24E+12,,
0,5.2,1.39E+00,-9.96E-06,-2.14E-06,0,7.27E+12,,
0,5.3,1.39E+00,-9.72E-06,-2.15E-06,0,7.30E+12,,
0,5.4,1.39E+00,-9.70E-06,-2.16E-06,0,7.33E+12,,
0,5.5,1.39E+00,-9.89E-06,-2.17E-06,0,7.36E+12,,
0,5.6,1.39E+00,-9.65E-06,-2.18E-06,0,7.40E+12,,
0,5.7,1.40E+00,-9.41E-06,-2.19E-06,0,7.43E+12,,
0,5.8,1.40E+00,-9.61E-06,-2.20E-06,0,7.46E+12,,
0,5.9,1.40E+00,-9.56E-06,-2.21E-06,0,7.49E+12,,
0,6,1.40E+00,-9.33E-06,-2.22E-06,0,7.52E+12,,
0,6.1,1.40E+00,-9.30E-06,-2.23E-06,0,7.56E+12,,
0,6.2,1.40E+00,-9.48E-06,-2.24E-06,0,7.59E+12,,
0,6.3,1.40E+00,-9.31E-06,-2.25E-06,0,7.62E+12,,
0,6.4,1.40E+00,-8.96E-06,-2.26E-06,0,7.65E+12,,
0,6.5,1.40E+00,-9.18E-06,-2.27E-06,0,7.68E+12,,
0,6.6,1.40E+00,-9.16E-06,-2.28E-06,0,7.71E+12,,
0,6.7,1.41E+00,-8.94E-06,-2.29E-06,0,7.75E+12,,
0,6.8,1.41E+00,-8.88E-06,-2.30E-06,0,7.78E+12,,
0,6.9,1.41E+00,-9.05E-06,-2.31E-06,0,7.81E+12,,
0,7,1.41E+00,-8.90E-06,-2.32E-06,0,7.84E+12,,
0,7.1,1.41E+00,-8.56E-06,-2.33E-06,0,7.87E+12,,
0,7.2,1.41E+00,-8.75E-06,-2.33E-06,0,7.90E+12,,
0,7.3,1.41E+00,-8.77E-06,-2.34E-06,0,7.93E+12,,
0,7.4,1.41E+00,-8.53E-06,-2.35E-06,0,7.96E+12,,
0,7.5,1.41E+00,-8.50E-06,-2.36E-06,0,7.99E+12,,
0,7.6,1.41E+00,-8.62E-06,-2.37E-06,0,8.02E+12,,
0,7.7,1.42E+00,-8.51E-06,-2.38E-06,0,8.06E+12,,
0,7.8,1.42E+00,-8.16E-06,-2.39E-06,0,8.09E+12,,
0,7.9,1.42E+00,-8.32E-06,-2.40E-06,0,8.12E+12,,
0,8,1.42E+00,-8.39E-06,-2.41E-06,0,8.15E+12,,
0,8.1,1.42E+00,-8.15E-06,-2.42E-06,0,8.18E+12,,
0,8.2,1.42E+00,-8.07E-06,-2.43E-06,0,8.21E+12,,
0,8.3,1.42E+00,-8.22E-06,-2.44E-06,0,8.24E+12,,
