#,s,V vs. Ref.,V,V,bits
1,1.00833,5.82E-01,5.82E-01,-3.39E-04,...........
2,2.01667,5.82E-01,5.82E-01,-3.37E-04,...........
3,3.025,5.82E-01,5.82E-01,-3.41E-04,...........
4,4.03333,5.82E-01,5.82E-01,-3.39E-04,...........
5,5.04167,5.82E-01,5.82E-01,-3.45E-04,...........
6,6.05,5.82E-01,5.82E-01,-3.38E-04,...........
7,7.05833,5.82E-01,5.82E-01,-3.43E-04,...........
8,8.06667,5.82E-01,5.82E-01,-3.41E-04,...........
9,9.075,5.82E-01,5.82E-01,-3.40E-04,...........
10,10.0833,5.82E-01,5.82E-01,-3.43E-04,...........
11,11.0917,5.82E-01,5.82E-01,-3.41E-04,...........
12,12.1,5.82E-01,5.82E-01,-3.43E-04,...........
13,13.1083,5.82E-01,5.83E-01,-3.47E-04,...........
14,14.1167,5.82E-01,5.83E-01,-3.43E-04,...........
15,15.125,5.82E-01,5.83E-01,-3.45E-04,...........
16,16.1333,5.83E-01,5.83E-01,-3.47E-04,...........
17,17.1417,5.83E-01,5.83E-01,-3.47E-04,...........
18,18.15,5.83E-01,5.83E-01,-3.46E-04,...........
19,19.1583,5.83E-01,5.83E-01,-3.45E-04,...........
20,20.1667,5.83E-01,5.83E-01,-3.46E-04,...........
21,21.175,5.83E-01,5.83E-01,-3.42E-04,...........
22,22.1833,5.83E-01,5.83E-01,-3.39E-04,...........
23,23.1917,5.83E-01,5.83E-01,-3.43E-04,...........
24,24.2,5.83E-01,5.83E-01,-3.44E-04,...........
25,25.2083,5.83E-01,5.83E-01,-3.44E-04,...........
26,26.2167,5.83E-01,5.83E-01,-3.44E-04,...........
27,27.225,5.83E-01,5.83E-01,-3.38E-04,...........
28,28.2333,5.83E-01,5.83E-01,-3.44E-04,...........
29,29.2417,5.83E-01,5.83E-01,-3.37E-04,...........
30,30.25,5.83E-01,5.83E-01,-3.41E-04,...........
31,31.2583,5.83E-01,5.83E-01,-3.42E-04,...........
32,32.2667,5.83E-01,5.84E-01,-3.41E-04,...........
33,33.275,5.83E-01,5.84E-01,-3.43E-04,...........
34,34.2833,5.83E-01,5.84E-01,-3.41E-04,...........
35,35.2917,5.84E-01,5.84E-01,-3.43E-04,...........
36,36.3,5.84E-01,5.84E-01,-3.46E-04,...........
37,37.3083,5.84E-01,5.84E-01,-3.46E-04,...........
38,38.3167,5.84E-01,5.84E-01,-3.39E-04,...........
39,39.325,5.84E-01,5.84E-01,-3.39E-04,...........
40,40.3333,5.84E-01,5.84E-01,-3.31E-04,...........
41,41.3417,5.84E-01,5.84E-01,-3.37E-04,...........
42,42.35,5.84E-01,5.84E-01,-3.29E-04,...........
43,43.3583,5.84E-01,5.84E-01,-3.33E-04,...........
44,44.3667,5.84E-01,5.84E-01,-3.38E-04,...........
45,45.375,5.84E-01,5.84E-01,-3.37E-04,...........
46,46.3833,5.84E-01,5.84E-01,-3.38E-04,...........
47,47.3917,5.84E-01,5.84E-01,-3.42E-04,...........
48,48.4,5.84E-01,5.84E-01,-3.43E-04,...........
49,49.4083,5.84E-01,5.84E-01,-3.38E-04,...........
50,50.4167,5.84E-01,5.84E-01,-3.40E-04,...........
51,51.425,5.84E-01,5.84E-01,-3.41E-04,...........
52,52.4333,5.84E-01,5.84E-01,-3.39E-04,...........
53,53.4417,5.84E-01,5.84E-01,-3.40E-04,...........
54,54.45,5.84E-01,5.84E-01,-3.40E-04,...........
55,55.4583,5.84E-01,5.84E-01,-3.37E-04,...........
56,56.4667,5.84E-01,5.84E-01,-3.38E-04,...........
57,57.475,5.84E-01,5.84E-01,-3.40E-04,...........
58,58.4833,5.84E-01,5.85E-01,-3.36E-04,...........
59,59.4917,5.84E-01,5.85E-01,-3.32E-04,...........
60,60.5,5.84E-01,5.85E-01,-3.33E-04,...........
61,61.5083,5.85E-01,5.85E-01,-3.34E-04,...........
62,62.5167,5.85E-01,5.85E-01,-3.41E-04,...........
63,63.525,5.85E-01,5.85E-01,-3.41E-04,...........
64,64.5333,5.85E-01,5.85E-01,-3.40E-04,...........
65,65.5417,5.85E-01,5.85E-01,-3.37E-04,...........
66,66.55,5.85E-01,5.85E-01,-3.42E-04,...........
67,67.5583,5.85E-01,5.85E-01,-3.39E-04,...........
68,68.5667,5.85E-01,5.85E-01,-3.41E-04,...........
